threshold,accuracy,precision,recall,f1,tn,fp,fn,tp
0.01,0.49975012493753124,0.49975012493753124,1.0,0.6664445184938353,0,1001,0,1000
0.02,0.49975012493753124,0.49975012493753124,1.0,0.6664445184938353,0,1001,0,1000
0.03,0.49975012493753124,0.49975012493753124,1.0,0.6664445184938353,0,1001,0,1000
0.04,0.49975012493753124,0.49975012493753124,1.0,0.6664445184938353,0,1001,0,1000
0.05,0.49975012493753124,0.49975012493753124,1.0,0.6664445184938353,0,1001,0,1000
0.060000000000000005,0.49975012493753124,0.49975012493753124,1.0,0.6664445184938353,0,1001,0,1000
0.06999999999999999,0.49975012493753124,0.49975012493753124,1.0,0.6664445184938353,0,1001,0,1000
0.08,0.49975012493753124,0.49975012493753124,1.0,0.6664445184938353,0,1001,0,1000
0.09,0.49975012493753124,0.49975012493753124,1.0,0.6664445184938353,0,1001,0,1000
0.09999999999999999,0.49975012493753124,0.49975012493753124,1.0,0.6664445184938353,0,1001,0,1000
0.11,0.49975012493753124,0.49975012493753124,1.0,0.6664445184938353,0,1001,0,1000
0.12,0.49975012493753124,0.49975012493753124,1.0,0.6664445184938353,0,1001,0,1000
0.13,0.49975012493753124,0.49975012493753124,1.0,0.6664445184938353,0,1001,0,1000
0.14,0.49975012493753124,0.49975012493753124,1.0,0.6664445184938353,0,1001,0,1000
0.15000000000000002,0.49975012493753124,0.49975012493753124,1.0,0.6664445184938353,0,1001,0,1000
0.16,0.49975012493753124,0.49975012493753124,1.0,0.6664445184938353,0,1001,0,1000
0.17,0.49975012493753124,0.49975012493753124,1.0,0.6664445184938353,0,1001,0,1000
0.18000000000000002,0.49975012493753124,0.49975012493753124,1.0,0.6664445184938353,0,1001,0,1000
0.19,0.49975012493753124,0.49975012493753124,1.0,0.6664445184938353,0,1001,0,1000
0.2,0.49975012493753124,0.49975012493753124,1.0,0.6664445184938353,0,1001,0,1000
0.21000000000000002,0.49975012493753124,0.49975012493753124,1.0,0.6664445184938353,0,1001,0,1000
0.22,0.49975012493753124,0.49975012493753124,1.0,0.6664445184938353,0,1001,0,1000
0.23,0.49975012493753124,0.49975012493753124,1.0,0.6664445184938353,0,1001,0,1000
0.24000000000000002,0.49975012493753124,0.49975012493753124,1.0,0.6664445184938353,0,1001,0,1000
0.25,0.49975012493753124,0.49975012493753124,1.0,0.6664445184938353,0,1001,0,1000
0.26,0.49975012493753124,0.49975012493753124,1.0,0.6664445184938353,0,1001,0,1000
0.27,0.49975012493753124,0.49975012493753124,1.0,0.6664445184938353,0,1001,0,1000
0.28,0.49975012493753124,0.49975012493753124,1.0,0.6664445184938353,0,1001,0,1000
0.29000000000000004,0.49975012493753124,0.49975012493753124,1.0,0.6664445184938353,0,1001,0,1000
0.3,0.49975012493753124,0.49975012493753124,1.0,0.6664445184938353,0,1001,0,1000
0.31,0.49975012493753124,0.49975012493753124,1.0,0.6664445184938353,0,1001,0,1000
0.32,0.49975012493753124,0.49975012493753124,1.0,0.6664445184938353,0,1001,0,1000
0.33,0.49975012493753124,0.49975012493753124,1.0,0.6664445184938353,0,1001,0,1000
0.34,0.49975012493753124,0.49975012493753124,1.0,0.6664445184938353,0,1001,0,1000
0.35000000000000003,0.49975012493753124,0.49975012493753124,1.0,0.6664445184938353,0,1001,0,1000
0.36000000000000004,0.49975012493753124,0.49975012493753124,1.0,0.6664445184938353,0,1001,0,1000
0.37,0.49975012493753124,0.49975012493753124,1.0,0.6664445184938353,0,1001,0,1000
0.38,0.49975012493753124,0.49975012493753124,1.0,0.6664445184938353,0,1001,0,1000
0.39,0.49975012493753124,0.49975012493753124,1.0,0.6664445184938353,0,1001,0,1000
0.4,0.49975012493753124,0.49975012493753124,1.0,0.6664445184938353,0,1001,0,1000
0.41000000000000003,0.49975012493753124,0.49975012493753124,1.0,0.6664445184938353,0,1001,0,1000
0.42000000000000004,0.49975012493753124,0.49975012493753124,1.0,0.6664445184938353,0,1001,0,1000
0.43,0.49975012493753124,0.49975012493753124,1.0,0.6664445184938353,0,1001,0,1000
0.44,0.49975012493753124,0.49975012493753124,1.0,0.6664445184938353,0,1001,0,1000
0.45,0.49975012493753124,0.49975012493753124,1.0,0.6664445184938353,0,1001,0,1000
0.46,0.49975012493753124,0.49975012493753124,1.0,0.6664445184938353,0,1001,0,1000
0.47000000000000003,0.49975012493753124,0.49975012493753124,1.0,0.6664445184938353,0,1001,0,1000
0.48000000000000004,0.49975012493753124,0.49975012493753124,1.0,0.6664445184938353,0,1001,0,1000
0.49,0.49975012493753124,0.49975012493753124,1.0,0.6664445184938353,0,1001,0,1000
0.5,0.49975012493753124,0.49975012493753124,1.0,0.6664445184938353,0,1001,0,1000
0.51,0.49975012493753124,0.49975012493753124,1.0,0.6664445184938353,0,1001,0,1000
0.52,0.49975012493753124,0.49975012493753124,1.0,0.6664445184938353,0,1001,0,1000
0.53,0.49975012493753124,0.49975012493753124,1.0,0.6664445184938353,0,1001,0,1000
0.54,0.49975012493753124,0.49975012493753124,1.0,0.6664445184938353,0,1001,0,1000
0.55,0.49975012493753124,0.49975012493753124,1.0,0.6664445184938353,0,1001,0,1000
0.56,0.49975012493753124,0.49975012493753124,1.0,0.6664445184938353,0,1001,0,1000
0.5700000000000001,0.49975012493753124,0.49975012493753124,1.0,0.6664445184938353,0,1001,0,1000
0.5800000000000001,0.49975012493753124,0.49975012493753124,1.0,0.6664445184938353,0,1001,0,1000
0.59,0.49975012493753124,0.49975012493753124,1.0,0.6664445184938353,0,1001,0,1000
0.6,0.49975012493753124,0.49975012493753124,1.0,0.6664445184938353,0,1001,0,1000
0.61,0.49975012493753124,0.49975012493753124,1.0,0.6664445184938353,0,1001,0,1000
0.62,0.49975012493753124,0.49975012493753124,1.0,0.6664445184938353,0,1001,0,1000
0.63,0.49975012493753124,0.49975012493753124,1.0,0.6664445184938353,0,1001,0,1000
0.64,0.49975012493753124,0.49975012493753124,1.0,0.6664445184938353,0,1001,0,1000
0.65,0.49975012493753124,0.49975012493753124,1.0,0.6664445184938353,0,1001,0,1000
0.66,0.49975012493753124,0.49975012493753124,1.0,0.6664445184938353,0,1001,0,1000
0.67,0.49975012493753124,0.49975012493753124,1.0,0.6664445184938353,0,1001,0,1000
0.68,0.49975012493753124,0.49975012493753124,1.0,0.6664445184938353,0,1001,0,1000
0.6900000000000001,0.49975012493753124,0.49975012493753124,1.0,0.6664445184938353,0,1001,0,1000
0.7000000000000001,0.49975012493753124,0.49975012493753124,1.0,0.6664445184938353,0,1001,0,1000
0.7100000000000001,0.49975012493753124,0.49975012493753124,1.0,0.6664445184938353,0,1001,0,1000
0.72,0.49975012493753124,0.49975012493753124,1.0,0.6664445184938353,0,1001,0,1000
0.73,0.49975012493753124,0.49975012493753124,1.0,0.6664445184938353,0,1001,0,1000
0.74,0.49975012493753124,0.49975012493753124,1.0,0.6664445184938353,0,1001,0,1000
0.75,0.49975012493753124,0.49975012493753124,1.0,0.6664445184938353,0,1001,0,1000
0.76,0.49975012493753124,0.49975012493753124,1.0,0.6664445184938353,0,1001,0,1000
0.77,0.49975012493753124,0.49975012493753124,1.0,0.6664445184938353,0,1001,0,1000
0.78,0.49975012493753124,0.49975012493753124,1.0,0.6664445184938353,0,1001,0,1000
0.79,0.5287356321839081,0.6628571428571428,0.116,0.1974468085106383,942,59,884,116
0.8,0.5287356321839081,0.6628571428571428,0.116,0.1974468085106383,942,59,884,116
0.81,0.5287356321839081,0.6628571428571428,0.116,0.1974468085106383,942,59,884,116
0.8200000000000001,0.5287356321839081,0.6628571428571428,0.116,0.1974468085106383,942,59,884,116
0.8300000000000001,0.5287356321839081,0.6628571428571428,0.116,0.1974468085106383,942,59,884,116
0.8400000000000001,0.5122438780609695,1.0,0.024,0.046875,1001,0,976,24
0.85,0.5122438780609695,1.0,0.024,0.046875,1001,0,976,24
0.86,0.5122438780609695,1.0,0.024,0.046875,1001,0,976,24
0.87,0.5122438780609695,1.0,0.024,0.046875,1001,0,976,24
0.88,0.5122438780609695,1.0,0.024,0.046875,1001,0,976,24
0.89,0.5122438780609695,1.0,0.024,0.046875,1001,0,976,24
0.9,0.5122438780609695,1.0,0.024,0.046875,1001,0,976,24
0.91,0.5122438780609695,1.0,0.024,0.046875,1001,0,976,24
0.92,0.5122438780609695,1.0,0.024,0.046875,1001,0,976,24
0.93,0.5122438780609695,1.0,0.024,0.046875,1001,0,976,24
0.9400000000000001,0.5122438780609695,1.0,0.024,0.046875,1001,0,976,24
0.9500000000000001,0.5122438780609695,1.0,0.024,0.046875,1001,0,976,24
0.9600000000000001,0.5072463768115942,1.0,0.014,0.027613412228796843,1001,0,986,14
0.97,0.5002498750624688,0.0,0.0,0.0,1001,0,1000,0
0.98,0.5002498750624688,0.0,0.0,0.0,1001,0,1000,0
0.99,0.5002498750624688,0.0,0.0,0.0,1001,0,1000,0
